creative_platform,payload_mb,useful_mb,wifi_ac_consumed_kWh,wifi_ac_mobile_rx_bytes,wifi_ac_mobile_tx_bytes,wifi_ac_kWh_per_mb,wifi_ac_kWh_per_useful_mb,wifi_ac_tx_consumed_kWh,wifi_ac_oh_consumed_kWh,wifi_ac_real_consumed_kWh,wifi_ac_real_kWh_per_mb,wifi_ac_real_kWh_per_useful_mb,wifi_ac_infra_consumed_kWh,wifi_ac_infra_kWh_per_mb,wifi_ac_infra_kWh_per_useful_mb,wifi_ac_device_consumed_kWh,wifi_ac_device_kWh_per_mb,wifi_ac_device_kWh_per_useful_mb,lte_consumed_kWh,lte_mobile_rx_bytes,lte_mobile_tx_bytes,lte_kWh_per_mb,lte_kWh_per_useful_mb,lte_tx_consumed_kWh,lte_oh_consumed_kWh,lte_real_consumed_kWh,lte_real_kWh_per_mb,lte_real_kWh_per_useful_mb,lte_infra_consumed_kWh,lte_infra_kWh_per_mb,lte_infra_kWh_per_useful_mb,lte_device_consumed_kWh,lte_device_kWh_per_mb,lte_device_kWh_per_useful_mb
html5__eb7BtMH1jbE5html,2.256486,2.445817,6.512334541310542e-08,2447251.0,9973.0,2.8860513831286972e-08,2.6626417844468913e-08,6.512334541310542e-08,1.7485821253562305e-08,6.512334541310542e-08,2.8860513831286972e-08,2.6626417844468913e-08,7.277777777777925e-08,3.225270521411577e-08,2.9756019267908942e-08,9.83138888888848e-09,4.356946548256217e-09,4.019674770797848e-09,2.192791189125926e-05,2447251.0,9973.0,9.71772565451736e-06,8.96547529568208e-06,2.192791189125926e-05,0.0037675415902396303,2.192791189125926e-05,9.71772565451736e-06,8.96547529568208e-06,0.0037837029500000004,0.0016768120653086259,0.001547009833523931,5.766552130888927e-06,2.555545272999224e-06,2.357720193656732e-06
html5__hRFmeSkRIzQyhtml,15.852429,18.918667,2.2731141116809115e-07,8554798.0,4507.0,1.4339216480205723e-08,1.2015191724030618e-08,2.2731141116809115e-07,0.0,2.2731141116809115e-07,1.4339216480205723e-08,1.2015191724030618e-08,1.697777777777751e-07,1.0709890438731823e-08,8.974087750356572e-09,2.461138888888904e-08,1.5525310909065758e-09,1.3009050208922774e-09,7.272631121274074e-05,8116877.0,4507.0,4.587707739472653e-06,3.8441562089306156e-06,7.272631121274074e-05,0.011806248920857038,7.272631121274074e-05,4.587707739472653e-06,3.8441562089306156e-06,0.011871480666666667,0.0007488745520744276,0.0006275009051465765,7.494565403111246e-06,4.727707913475749e-07,3.9614658913924785e-07
html5__iHnA66dqp0SWhtml,10.041196,12.148542,1.1531217534662869e-07,4338447.0,5381.0,1.1483908425513126e-08,9.491853042663777e-09,1.1531217534662869e-07,3.819913200427999e-10,1.1531217534662869e-07,1.1483908425513126e-08,9.491853042663777e-09,1.0141111111111438e-07,1.009950518953264e-08,8.347595218513824e-09,1.4283055555557115e-08,1.4224456484623062e-09,1.175701212174853e-09,3.887226698844445e-05,4338447.0,5381.0,3.871278579607893e-06,3.1997475078445174e-06,3.887226698844445e-05,0.006364013200106999,3.887226698844445e-05,3.871278579607893e-06,3.1997475078445174e-06,0.006396218666666665,0.0006369976909789099,0.00052650093045459,6.666800428777845e-06,6.63944855650447e-07,5.487737070652466e-07
html5__idZOd1iyQtHUhtml,0.627305,1.165977,1.3674483380816713e-08,513040.0,3997.0,2.179877951047212e-08,1.1727918630313216e-08,1.3674483380816713e-08,3.2283849952505584e-08,1.3674483380816713e-08,2.179877951047212e-08,1.1727918630313216e-08,4.0955555555545974e-08,6.5288106352645e-08,3.512552610861619e-08,5.002777777776324e-09,7.975032524491793e-09,4.290631614325432e-09,4.59728379637037e-06,513040.0,3997.0,7.328626101131619e-06,3.942859761702306e-06,4.59728379637037e-06,0.0011602782972067415,4.59728379637037e-06,7.328626101131619e-06,3.942859761702306e-06,0.001159093333333334,0.0018477348870698208,0.000994096224310886,5.782247669777786e-06,9.217601756366977e-06,4.95914385084593e-06
html5__imported--3-html,0.109839,0.446733,7.632837682811017e-09,287119.0,377.0,6.949114324430317e-08,1.7085905189030177e-08,7.632837682811017e-09,2.9502995650517516e-08,7.632837682811017e-09,6.949114324430317e-08,1.7085905189030177e-08,3.115555555555159e-08,2.8364747999846676e-07,6.974088673895054e-08,5.980277777776943e-09,5.444585054285766e-08,1.3386693568142366e-08,2.5727367250370366e-06,287119.0,377.0,2.342279814125253e-05,5.759003084699444e-06,2.5727367250370366e-06,0.0008096177141016291,2.5727367250370366e-06,2.342279814125253e-05,5.759003084699444e-06,0.0008064283333333328,0.007341912556863526,0.0018051684861725746,5.762117493333337e-06,5.245966818100435e-05,1.2898347543909532e-05
html5__kCQ7c1QClqr2html,2.676734,2.867728,7.711417489078821e-08,2898978.0,9152.0,2.8809054202168842e-08,2.689033788796853e-08,7.711417489078821e-08,1.8650825109221193e-08,7.711417489078821e-08,2.8809054202168842e-08,2.689033788796853e-08,8.433333333334207e-08,3.1506056759223016e-08,2.9407716956887846e-08,1.1431666666667338e-08,4.27075184410081e-09,3.986314834136061e-09,2.597505539333333e-05,2898978.0,9152.0,9.704010706081863e-06,9.057712374860283e-06,2.597505539333333e-05,0.0037536154802925554,2.597505539333333e-05,9.704010706081863e-06,9.057712374860283e-06,0.0037738161499999996,0.0014098584879932033,0.001315960282844119,5.774385685888935e-06,2.1572504723625635e-06,2.0135750970416074e-06
html5__kKiJqPhbMRCGhtml,18.336066,21.375596,2.34325411965812e-07,8818365.0,5785.0,1.2779481267454644e-08,1.0962286710780461e-08,2.34325411965812e-07,0.0,2.34325411965812e-07,1.2779481267454644e-08,1.0962286710780461e-08,1.689999999999911e-07,9.216808011052704e-09,7.906212299296406e-09,2.46749999999982e-08,1.3457085069391766e-09,1.1543537780185498e-09,7.47829908797037e-05,8346427.0,5785.0,4.0784643161572234e-06,3.4985219069308618e-06,7.47829908797037e-05,0.011784310151177186,7.47829908797037e-05,4.0784643161572234e-06,3.4985219069308618e-06,0.011851435,0.0006463455683460128,0.0005544376400077921,7.658142056889027e-06,4.176545861521783e-07,3.5826566224815564e-07
html5__kalevhtml,0.234223,0.532313,8.349641177587844e-09,313733.0,1359.0,3.564825477253662e-08,1.5685585694108248e-08,8.349641177587844e-09,3.5570358822404785e-08,8.349641177587844e-09,3.564825477253662e-08,1.5685585694108248e-08,3.953333333332515e-08,1.6878501826603346e-07,7.42670822116408e-08,4.386666666667476e-09,1.8728590559712225e-08,8.240765614718176e-09,2.8111279834074072e-06,313733.0,1359.0,1.2001929714022139e-05,5.280968121025425e-06,2.8111279834074072e-06,0.0007171873674504795,2.8111279834074072e-06,1.2001929714022139e-05,5.280968121025425e-06,0.0007142680333333314,0.0030495213251189313,0.0013418196311819012,5.730462100555561e-06,2.446583854085876e-05,1.0765211634049066e-05
html5__klranahtml,4.629069,6.370791,1.7475448501424502e-07,6578031.0,571.0,3.7751540323603946e-08,2.7430578873839218e-08,1.7475448501424502e-07,0.0,1.7475448501424502e-07,3.7751540323603946e-08,2.7430578873839218e-08,1.3475555555556192e-07,2.9110725192379268e-08,2.1152091719154172e-08,1.875527777777785e-08,4.0516306362635445e-09,2.9439480557089145e-09,5.8938301315999994e-05,6578031.0,571.0,1.273221490455208e-05,9.25133179160955e-06,5.8938301315999994e-05,0.009619723725539554,5.8938301315999994e-05,1.273221490455208e-05,9.25133179160955e-06,0.009671485333333332,0.0020892938371265004,0.0015180980404683395,7.176693522222326e-06,1.5503535424125942e-06,1.1264996014187761e-06
html5__l8hLy5FhLWvOhtml,7.755064,9.328305,1.1432305177587844e-07,4302066.0,3308.0,1.4741728988423364e-08,1.225550105575219e-08,1.1432305177587844e-07,0.0,1.1432305177587844e-07,1.4741728988423364e-08,1.225550105575219e-08,1.0044444444445237e-07,1.2952110317136308e-08,1.0767705863439538e-08,1.3744722222223957e-08,1.7723544540991483e-09,1.473442626739151e-09,3.854614325644444e-05,4302066.0,3308.0,4.9704481170554415e-06,4.132170126989248e-06,3.854614325644444e-05,0.006425987460900888,3.854614325644444e-05,4.9704481170554415e-06,4.132170126989248e-06,0.006457932666666666,0.0008327375076036337,0.0006922943307135289,6.600937490666734e-06,8.511776937839242e-07,7.076245352898232e-07
