id,consumed_J,consumed_kWh,infra_consumed_J,infra_consumed_kWh,device_consumed_J,device_consumed_kWh,tech,profile,sim_end_s,rx_total_bytes,mobile_rx_bytes,mobile_tx_bytes,send_attempts,send_ok,send_fail_notconn,send_fail_again,send_fail_other,send_fail_other_first_errno,send_fail_other_last_errno
nexd__Rituals_Advent_Calendar_copy__wifi_ac,306.041,8.50113e-05,276.631,7.68418e-05,29.41,8.16945e-06,wifi_ac,cli_profile,34.5659,401937,395288,6649,277,277,0,0,0,-1,-1
nexd__Rituals_Advent_Calendar_copy__lte,28157.3,0.00782147,28131,0.00781417,26.2794,7.29983e-06,lte,cli_profile,34.4774,401937,395288,6649,10006,277,0,9729,0,-1,-1
html5hiili__ad19__wifi_ac,370.386,0.000102885,334.746,9.29849e-05,35.6405,9.90015e-06,wifi_ac,cli_profile,41.8345,2135673,2092523,43150,16256,1398,0,14858,0,-1,-1
html5hiili__ad19__lte,42203.1,0.0117231,42162,0.0117117,41.0137,1.13927e-05,lte,cli_profile,41.746,2135673,2092523,43150,125701,1398,0,124303,0,-1,-1
html5__5XkMffcc7QvQhtml__wifi_ac,321.44,8.92888e-05,290.56,8.07112e-05,30.8796,8.57766e-06,wifi_ac,cli_profile,36.2873,2457210,2447237,9973,157124,1624,0,155500,0,-1,-1
html5__5XkMffcc7QvQhtml__lte,39146.6,0.010874,39109.8,0.0108638,36.7729,1.02147e-05,lte,cli_profile,36.1988,2457210,2447237,9973,329627,1624,0,328003,0,-1,-1
html5hiili__ad47__wifi_ac,322.752,8.96533e-05,291.743,8.10397e-05,31.009,8.61362e-06,wifi_ac,cli_profile,36.4525,270499,255149,15350,186,186,0,0,0,-1,-1
html5hiili__ad47__lte,30269.4,0.00840817,30238.4,0.00839956,30.9909,8.60858e-06,lte,cli_profile,36.364,270499,255149,15350,186,186,0,0,0,-1,-1
html5__3KRMUGZW4xdrhtml__wifi_ac,291.156,8.08766e-05,263.186,7.31073e-05,27.9696,7.76932e-06,wifi_ac,cli_profile,32.868,2244046,2241399,2647,139536,1456,0,138080,0,-1,-1
html5__3KRMUGZW4xdrhtml__lte,36809.9,0.010225,36775.2,0.0102153,34.7039,9.63998e-06,lte,cli_profile,34.782,2244046,2241399,2647,269975,1456,0,268519,0,-1,-1
html5__imported--3-html__wifi_ac,285.768,7.93801e-05,258.313,7.17536e-05,27.4554,7.62649e-06,wifi_ac,cli_profile,32.2751,287496,287119,377,187,187,0,0,0,-1,-1
html5__imported--3-html__lte,25995,0.00722084,25971.3,0.00721425,23.7246,6.59017e-06,lte,cli_profile,32.39,287496,287119,377,2628,187,0,2441,0,-1,-1
nexd__2025182_Brutal_Fruit_Spritzer_Grand_Luxe_Blinds_Swipe_copy__wifi_ac,305.443,8.48454e-05,276.105,7.66959e-05,29.3382,8.1495e-06,wifi_ac,cli_profile,34.4942,431012,423668,7344,22287,298,0,21989,0,-1,-1
nexd__2025182_Brutal_Fruit_Spritzer_Grand_Luxe_Blinds_Swipe_copy__lte,27674.8,0.00768745,27649.9,0.00768051,24.9561,6.93226e-06,lte,cli_profile,34.4064,431012,423668,7344,8489,298,0,8191,0,-1,-1
